Dataset,FCM_R,KFCM,CFCM,csiFCM
ceramic,0.4314411750736203,0.4998272299800515,0.4423924788638739,0.4643796903201291
crowdsourced,0.2840798290598292,0.2841715942028986,0.2854454700854701,0.2850470159791898
ecoli,0.3233627483282488,0.3269088163614851,0.316786097219684,0.3182816972426277
glass,0.3270101727677906,0.327945105896845,0.3254304015251041,0.3266669910507424
iris,0.3653868160309311,0.4026012950475813,0.3715392659449234,0.4122803087759621
wdbc,0.4102173410398052,0.5000191397909276,0.4278320472740809,0.4085500155339967
wine,0.4038407995496474,0.4459441078408329,0.4153783598698853,0.414563909708983
winequality-red,0.3911777362725451,0.3876413018036072,0.3894607310621242,0.3896425571142284
winequality-white,0.36255893226452895,0.3623349531062125,0.3633494957915831,0.36297498997996
yeast,0.2782218374759515,0.2784370036890139,0.2793733618789591,0.2800543156031345
optdigits,0.8161743711422844,0.8161856881763526,0.8161815631262523,0.8158799391874623
