Dataset,FCM_R,KFCM,CFCM,csiFCM
ceramic,0.0456188201904296,0.0392659425735473,0.0664373874664306,0.0686205148696899
crowdsourced,0.758674955368042,0.5731090307235718,0.5517230272293091,0.6036459684371949
ecoli,1.4117209911346436,1.0695852994918824,0.9118907928466796,1.0454595327377318
glass,0.7180957555770874,0.553290867805481,0.4645385980606079,0.5494433403015136
iris,0.1241625785827636,0.0982122421264648,0.0921513319015503,0.1436678886413574
wdbc,0.2297795295715332,0.1962593793869018,0.2796796560287475,0.3711547136306762
wine,0.1488359928131103,0.1163010120391845,0.1087803125381469,0.1708099126815795
winequality-red,2.8211410522460936,2.008820366859436,1.66738121509552,1.862792921066284
winequality-white,2.5881834506988524,1.9534465789794921,1.6416523933410645,1.9181875467300415
yeast,9.364183568954468,6.953072237968445,5.841441941261292,6.389956736564637
optdigits,3.486024856567383,2.5664069414138795,2.0667983055114747,2.1838718346931744
