Dataset,FCM_R,KFCM,CFCM,csiFCM
ceramic,0.0037349842390333,0.0011478216684756,0.0007434311170386,0.0004850172664789
crowdsourced,0.0068272641270621,0.0053371426742916,0.0213622797960137,0.0059484903910847
ecoli,0.0188633666778827,0.0086786768988968,0.0082131835157106,0.0103787814981375
glass,0.0069375369656407,0.0195242079459192,0.0048215331040545,0.0047046256302372
iris,0.0020381584283733,0.0023579016269467,0.0008045735701889,0.0024889837435093
wdbc,0.005653156718545,0.0080539402084996,0.0074481398301976,0.0025792108929336
wine,0.0053317266389804,0.0017174475611872,0.0025032101972746,0.0027425525126909
winequality-red,0.0201311250125186,0.0228133071787834,0.0099475695634506,0.0066440554697499
winequality-white,0.021739575085322357,0.010902194853407219,0.009580719014002575,0.04088182649602728
yeast,0.1080709822353149,0.0706111265854516,0.0408858633891564,0.0299630767794299
optdigits,0.0227028023079588,0.0243713144077219,0.0180433587591213,0.0204987857958801
